subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot6blocks;10;1;0;1;False;1000;True;;8;-99.04032403524543;eye;L;-1.3639105260372162;-6.732055900990963;0;-101.45;6.87;0.8320108999032527;0.8320627000648528;1684235704.356148;1684235704.36715;1684235705.1199014;1684235705.6232274;1684235706.603046;1684235707.4354572;[];[];[]
pilot6blocks;11;1;0;1;False;3000;True;;8;-166.84113771341083;eye;L;-7.126968264579773;-2.7071588426828384;0;-159.2;7.62;1.1325726000359282;1.1326213999418542;1684235708.1571994;1684235708.167189;1684235708.9202294;1684235709.4215865;1684235712.4202595;1684235713.5521615;[];[];[]
pilot6blocks;12;1;0;1;False;3000;True;;8;-53.276306047820576;eye;L;4.506511628627777;-6.187318360805511;0;-53.93;7.65;0.9154588999226689;0.9155902999918908;1684235714.4030843;1684235714.4161463;1684235715.1698685;1684235715.6717174;1684235718.6705747;1684235719.5861695;[];[];[]
pilot6blocks;13;1;0;1;False;1000;True;;8;15.794721080942624;eye;L;8.197566032409668;1.5544091776013373;0;10.74;8.34;0.76668460003566;0.7667580000124872;1684235720.439264;1684235720.4492722;1684235721.2033565;1684235721.704601;1684235722.6851056;1684235723.452486;[];[];[]
pilot6blocks;14;1;0;1;False;3000;True;;8;-178.76426820834584;eye;L;-6.258624970912933;-0.9228540033102035;0;-171.61;6.33;1.1991077000275254;1.1991859000409022;1684235724.1820738;1684235724.1993833;1684235724.9544384;1684235725.4540265;1684235728.4532647;1684235729.6526737;[];[];[]
pilot6blocks;15;1;0;1;False;1000;True;;8;72.78759901526783;eye;L;2.2615110874176025;7.4991891327314075;0;73.22;7.83;1.451469200081192;1.451533899991773;1684235730.7361214;1684235730.7481418;1684235731.503648;1684235732.0054963;1684235732.985179;1684235734.4358954;[];[];[]
pilot6blocks;16;1;0;1;False;1000;False;;8;126.67703113777094;eye;L;nan;nan;0;nan;nan;0.00207719998434186;0.0021327000577002764;1684235735.1473522;1684235735.1646855;1684235735.919398;1684235736.4037046;1684235736.4047017;1684235736.4067154;[];[];[]
pilot6blocks;16;1;0;1;False;1000;True;;8;99.17558572319926;eye;L;-2.278517097234726;7.41472420413047;0;107.08;7.76;0.9167711000191048;0.9169498999835923;1684235736.970136;1684235736.983139;1684235737.7361104;1684235738.2373369;1684235739.2189138;1684235740.1351736;[];[];[]
pilot6blocks;17;1;0;1;False;3000;True;;8;133.17054260948757;eye;L;-6.048390984535217;5.388156763091683;0;138.3;8.1;0.765611800015904;0.7656627999385819;1684235740.9883852;1684235740.9971416;1684235741.7519686;1684235742.2527509;1684235745.251591;1684235746.017546;[];[];[]
pilot6blocks;18;1;0;1;False;1000;True;;8;-71.68576421976235;eye;L;3.593291223049164;-7.429734702408314;0;-64.19;8.25;1.1512322999769822;1.1512845000252128;1684235746.7108557;1684235746.731839;1684235747.4852948;1684235747.9836562;1684235748.9653897;1684235750.117239;[];[];[]
